tid,sid,latitude,longitude,time,direction_inference,speed_inference_m_s,label
2,7,2.5580000000000003,-31.738000000000003,2004-04-21 17:19:00,81.69,3.92,NOT_FISHING
2,7,2.545,-31.712,2004-04-21 17:38:00,32.06,2.83,NOT_FISHING
2,8,2.504,-31.687,2004-04-21 18:00:00,12.01,4.04,FISHING
2,8,2.4130000000000003,-31.601,2004-04-21 19:00:00,63.61,3.87,FISHING
2,8,2.424,-31.565,2004-04-21 19:17:00,3.95,4.1,FISHING
2,8,2.443,-31.483,2004-04-21 20:00:00,45.65,3.62,FISHING
2,8,2.372,-31.372,2004-04-21 21:00:00,46.82,4.07,FISHING
2,8,2.391,-31.297,2004-04-21 21:38:00,33.02,3.77,FISHING
2,8,2.431,-31.26,2004-04-21 22:00:00,25.53,4.59,FISHING
2,8,2.472,-31.157,2004-04-21 23:00:00,66.71,3.42,FISHING
2,8,2.4330000000000003,-31.118,2004-04-21 23:26:00,0.73,3.93,FISHING
2,8,2.394,-31.078000000000007,2004-04-21 23:54:00,140.01,3.7,FISHING
2,8,2.403,-31.198,2004-04-22 01:00:00,4.21,3.38,FISHING
2,8,2.416,-31.285,2004-04-22 01:42:00,1.19,3.88,FISHING
2,8,2.423,-31.326,2004-04-22 02:00:00,1.29,4.28,FISHING
2,8,2.436,-31.414,2004-04-22 02:43:00,8.15,3.83,FISHING
2,8,2.447,-31.451,2004-04-22 03:00:00,7.55,4.2,FISHING
2,8,2.498,-31.565,2004-04-22 04:00:00,1.85,3.85,FISHING
2,8,2.507,-31.587,2004-04-22 04:11:00,6.05,4.0,FISHING
2,8,2.521,-31.613000000000003,2004-04-22 04:25:00,31.19,3.91,FISHING
2,8,2.577,-31.646,2004-04-22 05:00:00,34.71,3.44,FISHING
2,8,2.583,-31.659,2004-04-22 06:09:00,126.34,0.38,FISHING
2,8,2.599,-31.63,2004-04-22 07:00:00,73.2,1.2,FISHING
2,8,2.5580000000000003,-31.588,2004-04-22 07:52:00,71.69,2.09,FISHING
2,8,2.587,-31.532,2004-04-22 08:30:00,7.58,3.07,FISHING
2,8,2.596,-31.507,2004-04-22 08:44:00,38.82,3.51,FISHING
2,8,2.5860000000000003,-31.478,2004-04-22 09:00:00,19.82,3.55,FISHING
2,8,2.524,-31.401,2004-04-22 10:00:00,17.99,3.05,FISHING
2,8,2.516,-31.38,2004-04-22 10:13:00,5.43,3.2,FISHING
2,8,2.508,-31.351,2004-04-22 10:31:00,38.92,3.09,FISHING
2,8,2.528,-31.305,2004-04-22 10:59:00,25.17,3.32,FISHING
2,8,2.611,-31.232,2004-04-22 12:00:00,48.67,3.36,FISHING
2,8,2.611,-31.165,2004-04-22 12:37:00,45.0,3.35,FISHING
2,8,2.579,-31.133000000000006,2004-04-22 13:00:00,78.69,3.64,FISHING
2,8,2.573,-31.137,2004-04-22 14:00:00,92.88,0.22,FISHING
2,9,2.596,-31.168000000000006,2004-04-22 14:16:00,0.21,4.47,NOT_FISHING
2,9,2.6630000000000003,-31.259,2004-04-22 15:00:00,2.15,4.76,NOT_FISHING
2,9,2.702,-31.308000000000003,2004-04-22 15:26:00,38.95,4.46,NOT_FISHING
2,9,2.7110000000000003,-31.31,2004-04-22 16:00:00,49.61,0.5,NOT_FISHING
2,9,2.748,-31.38,2004-04-22 17:00:00,34.98,2.44,NOT_FISHING
2,9,2.744,-31.412,2004-04-22 17:14:00,18.22,4.26,NOT_FISHING
2,9,2.699,-31.507,2004-04-22 18:00:00,4.64,4.23,NOT_FISHING
2,9,2.651,-31.634,2004-04-22 18:57:00,23.81,4.41,NOT_FISHING
2,10,2.593,-31.693,2004-04-22 19:39:00,37.72,3.65,FISHING
2,10,2.549,-31.699,2004-04-22 20:00:00,7.2,3.92,FISHING
2,10,2.4330000000000003,-31.73,2004-04-22 21:00:00,0.46,3.71,FISHING
2,10,2.404,-31.738000000000003,2004-04-22 21:13:00,5.73,4.29,FISHING
2,10,2.363,-31.745,2004-04-22 21:32:00,10.48,4.06,FISHING
2,10,2.314,-31.763,2004-04-22 22:00:00,71.75,3.45,FISHING
2,10,2.319,-31.912,2004-04-22 23:00:00,32.19,4.6,FISHING
2,10,2.34,-31.943,2004-04-22 23:15:00,18.05,4.62,FISHING
2,10,2.359,-32.009,2004-04-22 23:48:00,43.47,3.85,FISHING
2,10,2.345,-32.036,2004-04-23 00:00:00,25.9,4.69,FISHING
2,10,2.2430000000000003,-32.111999999999995,2004-04-23 01:00:00,158.52,3.93,FISHING
2,10,2.261,-32.083,2004-04-23 01:27:00,16.32,2.34,FISHING
2,10,2.309,-32.04,2004-04-23 02:00:00,10.36,3.62,FISHING
2,10,2.378,-31.951,2004-04-23 03:00:00,5.33,3.48,FISHING
2,10,2.466,-31.857,2004-04-23 04:06:00,7.84,3.61,FISHING
2,10,2.556,-31.784,2004-04-23 05:00:00,21.21,3.98,FISHING
2,10,2.643,-31.756,2004-04-23 05:49:00,29.15,3.46,FISHING
2,10,2.668,-31.761,2004-04-23 06:00:00,37.87,4.3,FISHING
2,10,2.732,-31.729,2004-04-23 07:00:00,146.24,2.21,FISHING
2,10,2.637,-31.717,2004-04-23 08:06:00,25.63,2.69,FISHING
